,followers,reports,comments,likes,emo_label,emotion,influence,heat,professionalism,emo,hobby_weight,topic_drives,topic_continuous_attention
117,28000,0,0,0,black,0.701797217,0.000177209,0,0.098554033,0.601931173,1,0.602108382,1.700485207
118,293000,1,2,4,black,0.909274638,0.001854424,0.000201962,0.0304414,0.893629137,0.203098107,0.895685523,1.127168644
119,326000,1,0,0,black,0.890765786,0.002063285,2.89E-05,0.067732116,0.867607056,1,0.869699193,1.935339172
120,63000,1,12,12,black,0.773268342,0.000398728,0.000721293,0.009512938,0.702414308,1,0.703534329,1.711927246
121,886000,0,0,0,black,0.648973227,0.005607589,0,0.054794521,0.527664535,1,0.533272124,1.582459056
122,1040000,0,6,21,black,0.890088499,0.006582272,0.000778996,0.031582953,0.86665484,0.203098107,0.874016108,1.101335899
123,309000,5,1,5,black,0.601431698,0.00195569,0.000317369,0.128234399,0.460824649,0.004016064,0.463097708,0.593075112
124,960,0,0,0,black,0.744508266,6.07E-06,0,0.057838661,0.661979761,1,0.661985831,1.719818422
125,476,0,0,1,red,0.382473409,3.01E-06,2.89E-05,0.009512938,0.152985431,1,0.153017289,1.162498368
126,752000,0,0,19,black,0.766754866,0.004759487,0.000548182,0.032343988,0.69325684,0.203098107,0.69856451,0.928698935
127,7835,0,0,2,black,0.795939386,4.96E-05,5.77E-05,0.03805175,0.734288125,1,0.734395411,1.772339876
128,181,0,0,0,black,0.753273368,1.14E-06,0,0.062024353,0.674302848,1,0.674303987,1.736327201
129,2116000,12,10,7,black,0.885133088,0.013392399,0.000836699,0.055555556,0.859687897,0.203098107,0.873916995,1.118341559
130,7688,0,0,0,black,0.897454083,4.87E-05,0,0.075722983,0.877010309,1,0.87705896,1.952733292
131,177000,0,1,0,black,0.830934048,0.001120247,2.89E-05,0.114535769,0.783488041,1,0.784637139,1.89802381
132,3385,1,4,8,black,0.805798411,2.14E-05,0.000375072,0.061643836,0.748149189,1,0.748545678,1.809793024
